,tmp,cat,sub_cat,model,em_sum,em_mean,em_ci,ea_sum,ea_mean,ea_ci,rea_sum,rea_mean,rea_ci,et_sum,et_mean,et_ci,cc_sum,cc_mean,cc_ci,tokens_sum,tokens_mean,tokens_ci,count_sum,count_mean,count_ci
44,0.2,c4,s25_2,dail,0,0.0,"(0.00%, 0.00%)",6,0.5,"(25.13%, 74.87%)",9,0.75,"(53.46%, 96.54%)",5204.0,433.67,"(33858.52%, 52874.81%)",8,0.67,"(43.21%, 90.12%)",65208,5434.0,"(454164.94%, 632635.06%)",12,1.0,"(100.00%, 100.00%)"
45,0.2,c4,s25_2,din,0,0.0,"(0.00%, 0.00%)",8,0.67,"(43.21%, 90.12%)",8,0.67,"(43.21%, 90.12%)",12018.0,1001.5,"(63003.56%, 137296.44%)",7,0.58,"(33.81%, 82.86%)",310279,25856.58,"(1774831.80%, 3396484.87%)",12,1.0,"(100.00%, 100.00%)"
46,0.2,c4,s25_3,dail,4,0.03,"(0.62%, 6.05%)",20,0.17,"(11.03%, 22.30%)",26,0.22,"(15.44%, 27.90%)",12460067.0,103833.89,"(7330175.15%, 13436603.18%)",93,0.78,"(71.18%, 83.82%)",3257678,27147.32,"(2271372.13%, 3158091.20%)",120,1.0,"(100.00%, 100.00%)"
47,0.2,c4,s25_3,din,0,0.0,"(0.00%, 0.00%)",12,0.1,"(5.46%, 14.54%)",26,0.22,"(15.44%, 27.90%)",10267629.0,85563.58,"(5842506.45%, 11270208.55%)",92,0.77,"(70.27%, 83.06%)",2725817,22715.14,"(2165370.22%, 2377658.11%)",120,1.0,"(100.00%, 100.00%)"
48,0.2,c4,s25_4_1,dail,0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",1013579.0,56309.94,"(-233357.96%, 11495346.85%)",18,1.0,"(100.00%, 100.00%)",181605,10089.17,"(819514.85%, 1198318.48%)",18,1.0,"(100.00%, 100.00%)"
49,0.2,c4,s25_4_1,din,0,0.0,"(0.00%, 0.00%)",4,0.22,"(5.58%, 38.86%)",4,0.22,"(5.58%, 38.86%)",483822.0,26879.0,"(307131.85%, 5068668.15%)",18,1.0,"(100.00%, 100.00%)",681436,37857.56,"(3379877.51%, 4191633.60%)",18,1.0,"(100.00%, 100.00%)"
50,0.2,c4,s25_4_2,dail,0,0.0,"(0.00%, 0.00%)",6,0.33,"(14.47%, 52.20%)",6,0.33,"(14.47%, 52.20%)",16108.0,894.89,"(82168.07%, 96809.71%)",16,0.89,"(76.31%, 101.47%)",208705,11594.72,"(980919.15%, 1338025.30%)",18,1.0,"(100.00%, 100.00%)"
51,0.2,c4,s25_4_2,din,0,0.0,"(0.00%, 0.00%)",2,0.11,"(-1.47%, 23.69%)",2,0.11,"(-1.47%, 23.69%)",14950.0,830.56,"(66609.69%, 99501.42%)",14,0.78,"(61.14%, 94.42%)",661746,36763.67,"(3086457.33%, 4266276.01%)",18,1.0,"(100.00%, 100.00%)"
52,0.2,c4,s25_4_3,dail,3003,0.55,"(53.83%, 56.05%)",3067,0.56,"(55.00%, 57.22%)",3685,0.67,"(66.37%, 68.46%)",438590076.0,80239.68,"(7224350.75%, 8823584.71%)",5228,0.96,"(95.19%, 96.10%)",30347943,5552.13,"(548758.12%, 561667.90%)",5466,1.0,"(100.00%, 100.00%)"
53,0.2,c4,s25_4_3,din,2360,0.43,"(42.07%, 44.28%)",2899,0.53,"(51.92%, 54.15%)",3489,0.64,"(62.76%, 64.90%)",388437940.0,71064.39,"(6034206.56%, 8178670.87%)",4907,0.9,"(89.10%, 90.45%)",126485728,23140.46,"(2296434.81%, 2331656.22%)",5466,1.0,"(100.00%, 100.00%)"
54,0.2,c4,s25_4_4_1,dail,212,0.15,"(13.04%, 16.10%)",606,0.42,"(39.52%, 43.78%)",714,0.49,"(46.91%, 51.24%)",136153898.0,93576.56,"(7602431.18%, 11112881.26%)",800,0.55,"(52.83%, 57.14%)",9095065,6250.9,"(613191.22%, 636989.54%)",1455,1.0,"(100.00%, 100.00%)"
55,0.2,c4,s25_4_4_1,din,46,0.03,"(2.40%, 3.92%)",535,0.37,"(34.68%, 38.86%)",660,0.45,"(43.21%, 47.52%)",103120131.0,70872.94,"(5131536.76%, 9043051.70%)",422,0.29,"(27.04%, 30.97%)",35614266,24477.16,"(2407565.14%, 2487866.61%)",1455,1.0,"(100.00%, 100.00%)"
56,0.2,c4,s25_4_4_2,dail,112,0.12,"(9.86%, 13.25%)",425,0.44,"(41.23%, 46.49%)",576,0.59,"(56.84%, 62.05%)",70396849.0,72648.97,"(5766888.82%, 8762904.58%)",799,0.82,"(80.44%, 84.47%)",6198097,6396.38,"(626707.63%, 652569.36%)",969,1.0,"(100.00%, 100.00%)"
57,0.2,c4,s25_4_4_2,din,4,0.0,"(0.07%, 0.75%)",328,0.34,"(31.34%, 36.36%)",486,0.5,"(47.50%, 52.81%)",111005666.0,114556.93,"(7733837.92%, 15177548.25%)",426,0.44,"(41.33%, 46.60%)",25659269,26480.15,"(2595348.24%, 2700682.52%)",969,1.0,"(100.00%, 100.00%)"
